label,url
abnormal,https://www.tiktok.com/@.hy127/video/7443319711053417736?q=LINE%20%EB%AC%B8%EC%9D%98&t=1758201297746
abnormal,https://www.tiktok.com/@aiainvest0/video/7244473449534459141?q=%EB%A6%AC%EB%94%A9%EB%B0%A9%20%ED%85%94%EB%A0%88%EA%B7%B8%EB%9E%A8&t=1758200006484
abnormal,https://www.tiktok.com/@kskns3576/video/7532819372046306567?is_from_webapp=1&sender_device=pc&web_id=7550540002024998418
abnormal,https://www.tiktok.com/@kskns3576/video/7562830833589996820?is_from_webapp=1&web_id=7550540002024998418
abnormal,https://www.tiktok.com/@kskns3576/video/7533580900710288658?is_from_webapp=1&web_id=7550540002024998418
abnormal,https://www.tiktok.com/@aiainvest0/video/7226561438460972294?q=%EB%A6%AC%EB%94%A9%EB%B0%A9%20%ED%85%94%EB%A0%88%EA%B7%B8%EB%9E%A8&t=1758200006484
abnormal,https://www.tiktok.com/@user82519466677335/video/7549861810250337544?q=%EC%A3%BC%EC%8B%9D%20%ED%88%AC%EC%9E%90&t=1758365589261  
abnormal,https://www.tiktok.com/@coco518873/video/7550982194592861448?q=%EC%A3%BC%EC%8B%9D%20%ED%88%AC%EC%9E%90&t=1758365589261
abnormal,https://www.tiktok.com/@ddpark111/video/7550127110593973511?q=%EC%A3%BC%EC%8B%9D%20%ED%88%AC%EC%9E%90&t=1758365589261
abnormal,https://www.tiktok.com/@ddpark111/video/7554796532487179527?q=%EC%A3%BC%EC%8B%9D%20%ED%88%AC%EC%9E%90&t=1758365589261
abnormal,https://www.tiktok.com/@aiainvest0/video/7243649451670113541?q=%EB%A6%AC%EB%94%A9%EB%B0%A9%20%ED%85%94%EB%A0%88%EA%B7%B8%EB%9E%A8&t=1758200006484
abnormal,https://www.tiktok.com/@terrychan1226/video/7655983477447265557?q=%EA%B3%A0%EC%88%98%EC%9D%B5&t=1784437642660
abnormal,https://www.tiktok.com/@kskns3576/video/7496839932934098183
abnormal,https://www.tiktok.com/@user82519466677335/video/7595106907635928340?q=%EC%A3%BC%EC%8B%9D%20%ED%88%AC%EC%9E%90&t=1758365589261
normal,https://www.youtube.com/shorts/98M70pxYfHM
normal,https://www.youtube.com/shorts/zzN3uQrz4Rw
normal,https://www.youtube.com/shorts/vfQC5Buiek0
normal,https://www.youtube.com/shorts/gBVru36c0lg
normal,https://www.youtube.com/shorts/ksQFedc3F4Y
normal,https://www.youtube.com/shorts/AMDDNWD40VU
normal,https://www.youtube.com/shorts/AmEg6PZk8mc
normal,https://www.youtube.com/shorts/2s1vLHFyMww
normal,https://www.youtube.com/shorts/zzN3uQrz4Rw
normal,https://www.youtube.com/shorts/mpjM3ZTkq3Q
normal,https://www.youtube.com/shorts/JPGvBKsh08w
normal,https://www.youtube.com/shorts/NkHVXyZ2P_w
normal,https://www.youtube.com/shorts/8rhBXTZ3BNs
